Year,Stage,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals,Result
1978.0,Group 1,Argentina,France,2.0,1.0,HomeWin
1978.0,Group 3,Brazil,Spain,0.0,0.0,Draw
1978.0,Group 3,Austria,Sweden,1.0,0.0,HomeWin
1978.0,Group 4,Scotland,IR Iran,1.0,1.0,Draw
1978.0,Group 4,Netherlands,Peru,0.0,0.0,Draw
1978.0,Group 1,France,Hungary,3.0,1.0,HomeWin
1978.0,Group 2,Poland,Mexico,3.0,1.0,HomeWin
1978.0,Group 2,Germany FR,Tunisia,0.0,0.0,Draw
1978.0,Group 1,Italy,Argentina,1.0,0.0,HomeWin
1978.0,Group 3,Brazil,Austria,1.0,0.0,HomeWin
1978.0,Group 3,Spain,Sweden,1.0,0.0,HomeWin
1978.0,Group 4,Peru,Iran,4.0,1.0,HomeWin
1978.0,Group 4,Scotland,Netherlands,3.0,2.0,HomeWin
1978.0,Group A,Germany FR,Italy,0.0,0.0,Draw
1978.0,Group A,Netherlands,Austria,5.0,1.0,HomeWin
1978.0,Group B,Brazil,Peru,3.0,0.0,HomeWin
1978.0,Group B,Argentina,Poland,2.0,0.0,HomeWin
1978.0,Group B,Poland,Peru,1.0,0.0,HomeWin
1978.0,Group A,Italy,Austria,1.0,0.0,HomeWin
1978.0,Group A,Germany FR,Netherlands,2.0,2.0,Draw
1978.0,Group B,Argentina,Brazil,0.0,0.0,Draw
1978.0,Group A,Netherlands,Italy,2.0,1.0,HomeWin
1978.0,Group A,Austria,Germany FR,3.0,2.0,HomeWin
1978.0,Group B,Brazil,Poland,3.0,1.0,HomeWin
1978.0,Group B,Argentina,Peru,6.0,0.0,HomeWin
1978.0,Match for third place,Brazil,Italy,2.0,1.0,HomeWin
1978.0,Final,Argentina,Netherlands,3.0,1.0,HomeWin
1982.0,Group 3,Argentina,Belgium,0.0,1.0,AwayWin
1982.0,Group 1,Italy,Poland,0.0,0.0,Draw
1982.0,Group 6,Brazil,Soviet Union,2.0,1.0,HomeWin
1982.0,Group 1,Peru,Cameroon,0.0,0.0,Draw
1982.0,Group 3,Hungary,El Salvador,10.0,1.0,HomeWin
1982.0,Group 6,Scotland,New Zealand,5.0,2.0,HomeWin
1982.0,Group 2,Germany FR,Algeria,1.0,2.0,AwayWin
1982.0,Group 4,England,France,3.0,1.0,HomeWin
1982.0,Group 5,Spain,Honduras,1.0,1.0,Draw
1982.0,Group 2,Chile,Austria,0.0,1.0,AwayWin
1982.0,Group 4,Czechoslovakia,Kuwait,1.0,1.0,Draw
1982.0,Group 5,Yugoslavia,Northern Ireland,0.0,0.0,Draw
1982.0,Group 1,Italy,Peru,1.0,1.0,Draw
1982.0,Group 3,Argentina,Hungary,4.0,1.0,HomeWin
1982.0,Group 6,Brazil,Scotland,4.0,1.0,HomeWin
1982.0,Group 1,Poland,Cameroon,0.0,0.0,Draw
1982.0,Group 3,Belgium,El Salvador,1.0,0.0,HomeWin
1982.0,Group 6,Soviet Union,New Zealand,3.0,0.0,HomeWin
1982.0,Group 2,Germany FR,Chile,4.0,1.0,HomeWin
1982.0,Group 4,England,Czechoslovakia,2.0,0.0,HomeWin
1982.0,Group 5,Spain,Yugoslavia,2.0,1.0,HomeWin
1982.0,Group 2,Algeria,Austria,0.0,2.0,AwayWin
1982.0,Group 4,France,Kuwait,4.0,1.0,HomeWin
1982.0,Group 5,Honduras,Northern Ireland,1.0,1.0,Draw
1982.0,Group 1,Poland,Peru,5.0,1.0,HomeWin
1982.0,Group 3,Belgium,Hungary,1.0,1.0,Draw
1982.0,Group 6,Soviet Union,Scotland,2.0,2.0,Draw
1982.0,Group 1,Italy,Cameroon,1.0,1.0,Draw
1982.0,Group 3,Argentina,El Salvador,2.0,0.0,HomeWin
1982.0,Group 6,Brazil,New Zealand,4.0,0.0,HomeWin
1982.0,Group 2,Algeria,Chile,3.0,2.0,HomeWin
1982.0,Group 4,France,Czechoslovakia,1.0,1.0,Draw
1982.0,Group 5,Honduras,Yugoslavia,0.0,1.0,AwayWin
1982.0,Group 2,Germany FR,Austria,1.0,0.0,HomeWin
1982.0,Group 4,England,Kuwait,1.0,0.0,HomeWin
1982.0,Group 5,Northern Ireland,Spain,1.0,0.0,HomeWin
1982.0,Group 4,Austria,France,0.0,1.0,AwayWin
1982.0,Group 1,Poland,Belgium,3.0,0.0,HomeWin
1982.0,Group 3,Italy,Argentina,2.0,1.0,HomeWin
1982.0,Group 2,Germany FR,England,0.0,0.0,Draw
1982.0,Group 4,Austria,Northern Ireland,2.0,2.0,Draw
1982.0,Group 1,Belgium,Soviet Union,0.0,1.0,AwayWin
1982.0,Group 3,Argentina,Brazil,1.0,3.0,AwayWin
1982.0,Group 2,Germany FR,Spain,2.0,1.0,HomeWin
1982.0,Group 4,France,Northern Ireland,4.0,1.0,HomeWin
1982.0,Group 1,Poland,Soviet Union,0.0,0.0,Draw
1982.0,Group 3,Italy,Brazil,3.0,2.0,HomeWin
1982.0,Group 2,Spain,England,0.0,0.0,Draw
1982.0,Semi-finals,Poland,Italy,0.0,2.0,AwayWin
1982.0,Semi-finals,Germany FR,France,3.0,3.0,Draw
1982.0,Match for third place,Poland,France,3.0,2.0,HomeWin
1982.0,Final,Italy,Germany FR,3.0,1.0,HomeWin
1986.0,Group A,Bulgaria,Italy,1.0,1.0,Draw
1986.0,Group C,Canada,France,0.0,1.0,AwayWin
1986.0,Group D,Spain,Brazil,0.0,1.0,AwayWin
1986.0,Group C,Soviet Union,Hungary,6.0,0.0,HomeWin
1986.0,Group A,Argentina,Korea Republic,3.0,1.0,HomeWin
1986.0,Group F,Morocco,Poland,0.0,0.0,Draw
1986.0,Group D,Algeria,Northern Ireland,1.0,1.0,Draw
1986.0,Group B,Belgium,Mexico,1.0,2.0,AwayWin
1986.0,Group F,Portugal,England,1.0,0.0,HomeWin
1986.0,Group B,Paraguay,Iraq,1.0,0.0,HomeWin
1986.0,Group E,Scotland,Denmark,0.0,1.0,AwayWin
1986.0,Group E,Uruguay,Germany FR,1.0,1.0,Draw
1986.0,Group A,Italy,Argentina,1.0,1.0,Draw
1986.0,Group C,France,Soviet Union,1.0,1.0,Draw
1986.0,Group A,Korea Republic,Bulgaria,1.0,1.0,Draw
1986.0,Group C,Hungary,Canada,2.0,0.0,HomeWin
1986.0,Group D,Brazil,Algeria,1.0,0.0,HomeWin
1986.0,Group F,England,Morocco,0.0,0.0,Draw
1986.0,Group D,Northern Ireland,Spain,1.0,2.0,AwayWin
1986.0,Group B,Mexico,Paraguay,1.0,1.0,Draw
1986.0,Group F,Poland,Portugal,1.0,0.0,HomeWin
1986.0,Group B,Iraq,Belgium,1.0,2.0,AwayWin
1986.0,Group E,Denmark,Uruguay,6.0,1.0,HomeWin
